Region,Year,Month,SoilTemperature-10,SoilTemperature-30,SoilTemperature-50,Rainfall,Temperature,Min Temperature,Max Temperature,Humidity,Sunshine,Wind Speed,Surface Pressure,Solar Radiation
0,2019,5,31.67,31.33,30.53,104.00,30.16,26.28,34.87,79.26,7.62,3.79,100465.64,242.03
0,2019,6,31.69,31.29,30.83,130.00,29.73,26.70,33.92,77.37,4.84,3.00,100145.42,194.99
0,2019,7,30.89,30.74,30.53,329.00,28.90,26.38,32.36,75.10,0.22,3.78,100073.59,177.17
0,2019,8,31.13,31.03,30.65,362.00,29.23,26.44,32.78,77.06,5.27,3.11,100085.83,180.51
0,2019,9,30.48,30.68,30.40,285.00,28.26,25.84,32.15,79.87,0.00,2.74,100649.90,165.94
0,2019,10,29.14,29.35,29.13,183.00,26.92,23.61,32.25,82.48,0.00,1.66,101040.80,176.86
0,2019,11,25.75,26.36,26.65,175.00,23.66,19.17,30.17,87.93,0.00,1.86,101175.60,174.68
0,2019,12,20.96,22.07,22.81,15.00,18.43,13.48,25.79,85.81,0.26,2.05,101540.82,169.99
0,2020,1,19.48,20.10,20.64,54.00,18.58,12.42,24.74,86.13,5.53,2.03,101496.95,176.68
0,2020,2,20.82,21.16,21.29,2.00,20.71,13.32,28.11,87.41,7.60,1.96,101485.18,212.50
0,2020,3,25.02,24.89,24.47,6.00,25.89,19.05,32.73,85.84,8.25,1.94,101102.18,246.81
0,2020,4,28.36,28.33,27.71,209.00,28.31,23.15,33.48,82.90,7.15,2.19,100922.79,225.94
0,2020,5,30.39,29.93,29.13,261.00,29.27,24.83,33.71,86.06,6.85,3.05,100552.83,230.29
0,2020,6,30.44,30.19,29.68,347.00,29.54,26.35,32.72,77.03,3.78,3.35,100274.15,170.94
0,2020,7,30.74,30.58,30.09,296.00,29.57,26.52,32.62,74.00,3.27,3.32,100277.90,170.94
0,2020,8,30.38,30.38,29.97,429.00,29.42,26.78,32.06,73.26,4.07,3.68,100069.52,161.64
0,2020,9,30.98,30.79,30.32,411.00,29.76,26.34,33.18,81.10,4.74,2.54,100454.86,178.01
0,2020,10,29.84,29.95,29.68,278.00,29.02,25.41,32.63,87.39,5.39,1.93,100638.62,166.02
0,2020,11,25.85,27.02,27.29,0.00,24.48,18.31,30.65,86.77,7.53,1.99,101324.72,181.56
